ID,英文詞彙,中文詞彙,更新日期
21370121,1- or 2-nitropropane,1或2硝基丙烷；1-或 2-硝基丙烷,2026-05-11
21370122,1- phenyl -1- xylyl ethane,1-苯-1-二甲苯乙烷,2025-06-24
21370123,"1,1-dichloroethane","1,1二氯乙烷",2025-06-24
21370124,"1,3-dichloropropene","1,3-二氯丙烯",2025-06-24
21370125,"1,3-pentadiene","1,3-戊二烯",2025-06-24
21370126,"1,4-dioxane","1,4-二氧陆圜；1,4-二㗁烷",2025-06-24
21370127,2- or 3-chloropropionic acid,2或3氯丙酸；2-或3-氯丙酸,2025-06-24
21370128,"2,2-dichloroisopropyl ether","2,2-二氯异丙醚",2025-06-24
21370129,"2,2-dichloropropionic acid","2,2-二氯丙酸",2025-06-24
21370130,"2,4-dichlorophenol","2,4-二氯酚",2025-06-24
21370131,"2,4-dichlorophenoxyacetic acid,diethanolamine salt solution",二氯苯氧基乙酸二乙醇胺盐溶液,2025-06-24
21370132,"2,4-dichlorophenoxyacetic acid,dimethylamine salt solution",二氯苯氧基乙酸二甲胺盐溶液,2025-06-24
21370133,"2,4-dichlorophenoxyacetic acid,triisopropanolamine salt solution",二氯苯氧基乙酸三异丙醇胺盐溶液,2025-06-24
21370134,2-2-aminoethoxy ethanol,2-胺基乙氧基乙醇；二乙二醇胺,2025-06-24
21370135,2-ethanol,2-乙醇；二甘醇胺,2026-05-14
21370136,2-ethoxyethyl acetate,乙酸-乙氧乙酯；乙二醇乙醚乙酸酯,2025-06-24
21370137,2-ethyl-3-propylacrolein,2-乙基3-丙基丙烯醛,2025-06-24
21370138,2-ethylhexyl acrylate,2-乙基己酸,2025-06-24
21370139,2-ethylhexylamine,2-乙基乙酸；2-乙基己胺,2025-06-24
21370140,2-methyl pyridine,2-甲基吡啶,2025-06-24
21370141,2-methyl-1-pentene,2-甲基-1-戊烯,2025-06-24
21370142,2-methyl-2-hydroxy-3-butyne,2-甲基-2-醇-3-丁炔；2-甲基-3-丁炔-2-醇,2025-06-24
21370143,2-methyl-5-ethyl pyridine,2-甲基-5-乙基吡啶,2025-06-24
21370144,2-methyl-6-ethylaniline,2-甲基-6-乙基苯胺,2025-06-24
21370145,2π counter,2π计数器,2025-06-24
21370146,2π ionozation chamber,2π电离室,2025-06-24
21370147,4-methyl pyridine,4-甲基吡啶,2025-06-24
21370148,4π counter,4π计数器；万向计数器,2025-06-24
21370149,4π ionozation chamber,4π电离室,2025-06-24
21370150,a posteriori,源自于经验或证据的事物,2025-06-24
21370151,a priori,独立于证据、经验、实验的事物,2025-06-24
21370152,a priori knowledge,众人已知不需验证的知识,2025-06-24
21370153,above deck,舱面；甲板上,2025-06-24
21370154,acceptance criteria,验收标准,2025-06-24
21370155,accident,意外事故,2025-06-24
21370156,accident limit state (ALS),事故极限状态,2025-06-24
21370157,accuracy difference (AD),准确度差异,2025-06-24
21370158,acetic acid,醋酸,2025-06-24
21370159,acetic anhydride,醋酸酐；乙酐；乙酸酐,2025-06-24
21370160,acetone cyanohydrin,2-氰丙醇；丙酮氰醇；2-羟基-2甲基丙腈,2025-06-24
21370161,acetonitrile,乙腈；甲基氰；氰甲烷,2025-06-24
21370162,acoustic camera,声学相机,2025-06-24
21370163,acoustic communication,音响讯号通联；声通讯,2025-06-24
21370164,acoustic device,声学设备,2025-06-24
21370165,acoustic navigation,声学导航；声响导航；声纳导航,2025-06-24
21370166,acoustic sensor,声响感测器；声波感测器,2025-06-24
21370167,acoustic sensors,串音感测器；串扰感测器,2025-06-24
21370168,acoustic sonar measurement,定位音响声纳量测,2025-06-24
21370169,acoustic trauma,创伤性听力损失；听力外伤,2025-06-24
21370170,acoustical metamaterial,声学超材料,2025-06-24
21370171,acrylarnide solution,丙烯酸胺溶液；丙烯醯胺溶液,2025-06-24
21370172,acrylic acid,丙烯酸,2025-06-24
21370173,acrylonitrile,丙烯腈,2025-06-24
21370174,action data automation computer,动作数据自动计算机,2025-06-24
21370175,actionable information,可供行动的参考资料,2025-06-24
21370176,actual throat thickness,实际喉深,2025-06-24
21370177,ad hoc,特定目的的；特设的 {解决方案}；特别的 {地}；即席的；专业的,2025-06-24
21370178,ad hoc committee,特别委员会,2025-06-24
21370179,adduct,加成物,2025-06-24
21370180,adiponitrile,己二腈；含脂腈,2025-06-24
21370181,adjustable fluke angle ancher,变爪角锚,2025-06-24
21370182,admiral amchor,海军锚,2025-06-24
21370183,Admiralty ancher,海军锚；普通有杆锚；普通锚；有杆锚,2025-06-24
21370184,Admiralty pattern anchor,普通有杆锚；海军锚,2025-06-24
21370185,Admiralty standard stockless anchor,海军部标准无杆锚；海军标准无杆锚,2025-06-24
21370186,after cut-up,艉底升高处,2025-06-24
21370187,AI robot,智能机器人,2025-06-24
21370188,air defense computer,防空计算机,2025-06-24
21370189,air defense formations and dispositions,防空编队及序列,2025-06-24
21370190,air duct deck,{气垫船}气道甲板,2025-06-24
21370191,air search attack team,空中搜索攻击组,2025-06-24
21370192,air search attack unit,空中搜索攻击分队,2025-06-24
21370193,air surface zone,海空禁区,2025-06-24
21370194,aircraft carrier (CV),{美}航空母舰{代号},2025-06-24
21370195,aircraft fire control computer,机载火控电脑,2025-06-24
21370196,algoe,海藻,2025-06-24
21370197,alighting deck,{航母}降落甲板,2025-06-24
21370198,alkyl acrylate vinyl pyridine copolymer in toluene,烷基丙烯酸酯乙烯吡啶共聚甲苯,2025-06-24
21370199,alkyl benzene sulphonic acid,烷基苯磺酸,2025-06-24
21370200,allowable stress design (ASD),容许应力设计法,2025-06-24
21370201,allyl alcohol,丙烯；烯丙醇,2025-06-24
21370202,allyl chloride,烯丙基氯；氯丙烯；3-氯丙烯,2025-06-24
21370203,alpha-methylstyrene,α-甲基苯乙烯,2025-06-24
21370204,alpha-olefins (C6~C18) mixture,α-烯(C6~C18)混合物,2025-06-24
21370205,altitude keeping,深度保持；高度保持,2025-06-24
21370206,aluminum-planked flight deck,{航母}铝包面护板飞行甲板{减冲击并便于修理之用},2025-06-24
21370207,aminoethyl ethanolamine,胺基乙基乙醇胺；N-羟乙基乙二胺,2025-06-24
21370208,ammonia aqueous,氨水,2025-06-24
21370209,ammonium nitrate solution,硝酸铵溶液,2025-06-24
21370210,ammonium sulphide solution,硫化氨溶液,2025-06-24
21370211,amplitude of turning values,拐点值幅度,2025-06-24
21370212,commercial amyl acetate,商用醋酸戊酯,2026-05-11
21370213,analog computer,类比计算机；类比电脑,2025-06-24
21370214,analog-digital computer,类比-数位电脑,2025-06-24
21370215,analogue computer,类比计算机；类比电脑,2025-06-24
21370216,anchor crown,锚冠；锚头,2025-06-24
21370217,anchor deck,锚机甲板,2025-06-24
21370218,anchor fluke palm,锚爪掌,2025-06-24
21370219,anchor head,锚头；锚冠,2025-06-24
21370220,anchor shaft,锚柄,2025-06-24
21370221,anchor with turning palms,转锚掌锚；转抓锚,2025-06-24
21370222,anemone,海葵,2025-06-24
21370223,angle joint,斜接接头,2025-06-24
21370224,angled deck,{航母}斜角甲板,2025-06-24
21370225,angled flight deck,{航母}斜角飞行甲板,2025-06-24
21370226,aniline,苯胺,2025-06-24
21370227,anti-aircraft fire control computer,防空炮火控制电脑,2025-06-24
21370228,anti-aircraft missile control computer,防空飞弹控制电脑,2025-06-24
21370229,anti-aircraft missile launching computer,防空飞弹发射电脑；防空飞弹发射计算机,2025-06-24
21370230,anti-selfcontained navigation,非自主导航,2025-06-24
21370231,antisubmarine warfare screen,反潜屏卫,2025-06-24
21370232,anti-submarine weapons fire-control system (ASWFCS),反潜武器射控系统；反潜武器火控系统,2025-06-24
21370233,apostle timber,牙樯边木；艏副肋材；船艏副肋材,2025-06-24
21370234,approach navigation,进场航行；进港航行；驶进{目的地}航法,2025-06-24
21370235,apron board,舷缘挡板,2025-06-24
21370236,aqua regia,王水；王酸；硝基盐酸,2025-06-24
21370237,arch deck,梁拱甲板,2025-06-24
21370238,area under the ROC curve (AUC),接收者操作特征曲线下面积,2025-06-24
21370239,armour deck,装甲甲板,2025-06-24
21370240,armoured deck,装甲甲板,2025-06-24
21370241,array computer,阵列式电脑,2025-06-24
21370242,arrested landing,用阻拦装置著陆,2025-06-24
21370243,arrested landing weight,阻拦著陆重量,2025-06-24
21370244,arrested run,阻拦滑跑,2025-06-24
21370245,arrested state,阻拦减速状态,2025-06-24
21370246,arrester cable,拦阻索,2025-06-24
21370247,arrester catch,止动器；挡车器,2025-06-24
21370248,arrester gear,著陆拦阻装置,2025-06-24
21370249,arrester gear handle control,著陆阻拦装置手柄操纵,2025-06-24
21370250,arrester hook,{著陆}拦阻钩；制动钩,2025-06-24
21370251,arrester hook actuation gear,制动钩操纵机构,2025-06-24
21370252,arrester hook deck-folding mechanism,拦阻钩收放机构,2025-06-24
21370253,arrester net,阻拦网,2025-06-24
21370254,arrester wire,拦截索；阻拦索,2025-06-24
21370255,arresting cable,拦阻索,2025-06-24
21370256,arresting gear,阻拦索；制动装置；停车装置；限动器；行程阻止器,2025-06-24
21370257,arris cut,棱形切割,2025-06-24
21370258,arris-piece,棱形楔,2025-06-24
21370259,articulated anchor,绞接锚,2025-06-24
21370260,artificial capable intelligence (ACI),人工能力智慧,2025-06-24
21370261,artificial general intelligence (AGI),通用人工智慧,2026-05-14
21370262,Artificial Intelligence Generative Chip (AIGC),人工智能生成式晶片,2025-06-24
21370263,ashcroft build,双斜角建造；人字形拼造法,2025-06-24
21370264,astral navigation,天文航海,2025-06-24
21370265,astronomical navigation,天文航海；天体导航；天文航海学,2025-06-24
21370266,asynchronous computer,异步电脑,2025-06-24
21370267,athwart hawse,锚链横交于船位,2025-06-24
21370268,atomic blast simulator,核爆炸模拟器,2025-06-24
21370269,automatic anchor,自动系留器,2025-06-24
21370270,automatic bridge,自动化驾驶台,2025-06-24
21370271,automatic computer,自动电脑,2025-06-24
21370272,automatic identification system (AIS),自动识别系统,2025-06-24
21370273,automatic navigation,自动导航,2025-06-24
21370274,automatic sequence computer,自动序列电脑；自动程序计算机,2025-06-24
21370275,automatic ship,自动化船舶,2025-06-24
21370276,automatic submerged arc welding (ASAW),潜弧自动銲,2025-06-24
21370277,automobile deck,汽车甲板；车辆甲板,2025-06-24
21370278,autonomous underwater vehicle (AUV),自主式水下载具；无人水下载具,2025-06-24
21370279,autonomy assisted bridge (AAB),自主化辅助驾驶台,2025-06-24
21370280,AUV positioning,自主式无人水下载具定位；无人水下载具定位,2025-06-24
21370281,auxiliary material,辅助材料,2025-06-24
21370282,auxiliary tanks,辅压水舱,2025-06-24
21370283,average wave elevation,平均波形高,2025-06-24
21370284,avoiding navigation,避航；规避航行,2025-06-24
21370285,awash anchor,浮锚{锚初露出水面状态}；淹没锚,2025-06-24
21370286,axial deck,{航母}轴向甲板{中心线平行于舰体中线面的飞行甲板},2025-06-24
21370287,azimuth computer,天体方位角计算机 ,2025-06-24
21370288,back of stern post,艉柱背材,2025-06-24
21370289,back rabbet,艏艉列端板,2025-06-24
21370290,back run,背面终道,2025-06-24
21370291,back support,背面支架,2025-06-24
21370292,back trough,倒槽,2025-06-24
21370293,backbone,脊骨,2025-06-24
21370294,backing flux,背衬銲药,2025-06-24
21370295,backing gas,背衬气体,2025-06-24
21370296,backup anchor,副锚；串联锚,2025-06-24
21370297,Baldt anchor,球端锚；贝尔特锚,2025-06-24
21370298,bale cubic capacity,包装货舱容积；包装货物装载量,2025-06-24
21370299,ballast ratio,压载比,2025-06-24
21370300,balloon release deck,{海上气象观察船}气球施放甲板,2025-06-24
21370301,bandgap,带隙,2025-06-24
21370302,bank effect,岸壁效应,2025-06-24
21370303,base caisson deck,沉箱式基础台,2025-06-24
21370304,batch sample,批次样品,2025-06-24
21370305,bathing deck,游泳池甲板{大型客船},2025-06-24
21370306,bathing platform,游泳台；游泳跳水台；跳水平台,2025-06-24
21370307,bathymetric data,深海测绘资料,2025-06-24
21370308,bathymetric data processing,深海测绘资料处理,2025-06-24
21370309,bathymetric navigation,测深航海{法}；按水深定位航行,2025-06-24
21370310,bathymetric side scan sonar,深海侧扫声纳,2025-06-24
21370311,bathymetric sonar,深海测绘声纳,2025-06-24
21370312,bathymetric survey,深海测绘调查,2025-06-24
21370313,batten stud,压条螺栓,2025-06-24
21370314,battery deck,火炮甲板；炮塔甲板,2025-06-24
21370315,beach garboard,海滩用龙骨架,2025-06-24
21370316,bead on plate,板面銲道,2025-06-24
21370317,beakhead,艏部隔壁,2025-06-24
