ID,英文名稱,中文名稱,圖片,更新日期
11547315,1-decanol,1-癸醇,,2020-12-01
11547316,2-chloroethenyldichloroarsine,2-氯乙烯基二氯砷酸｛路易士毒气｝,,2020-12-01
11547317,"3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT)","溴化-3-(4,5-二甲基-2-噻唑)-2,5-二苯基四氮唑｛细胞存活率检定法用试剂｝",,2020-12-01
11547318,abalone shell,鲍鱼壳,,2020-12-01
11547319,Abbe number,阿贝值,,2020-12-01
11547320,Abbe refractometer,阿贝折射计,,2020-12-01
11547321,Abbe value,阿贝值,,2020-12-01
11547322,ablation,耗损,,2020-12-01
11547323,ablative shielding,剥离性散热屏蔽｛太空｝,,2020-12-01
11547324,abnormal grain growth,异常晶粒成长,,2020-12-01
11547325,abnormal setting,异常凝结,,2020-12-01
11547326,abnormal steel,异常钢,,2020-12-01
11547327,abradant,摩擦剂,,2020-12-01
11547328,Abram's law,亚伯姆定律,,2020-12-01
11547329,abrasion,磨耗,,2020-12-01
11547330,abrasion index,磨耗指数,,2020-12-01
11547331,abrasion resistance,磨耗抗力；耐磨性,,2020-12-01
11547332,abrasion test,磨耗试验,,2020-12-01
11547333,abrasive,研磨剂；研磨料；磨料,,2020-12-01
11547334,abrasive belt,研磨带,,2020-12-01
11547335,abrasive brick,研磨砖,,2020-12-01
11547336,abrasive cloth,研磨布；砂布,,2020-12-01
11547337,abrasive grain,研磨粒,,2020-12-01
11547338,abrasive hardness,耐磨硬度；耐磨剂硬度,,2020-12-01
11547339,abrasive paper,研磨纸；砂纸,,2020-12-01
11547340,abrasive stone,磨石,,2020-12-01
11547341,abrasive tool,磨具,,2020-12-01
11547342,abrasive wheel,砂轮；磨轮,,2020-12-01
11547343,absolute humidity,绝对湿度,,2020-12-01
11547344,absolute temperature,绝对温度,,2020-12-01
11547345,absolute-reaction-rate theory,绝对反应速率理论,,2020-12-01
11547346,absorber,中子吸收材料；动能吸收材料｛如铅、金属、蜂巢、塑胶泡沫等｝,,2020-12-01
11547347,absorption,吸收[作用],,2020-12-01
11547348,absorption band,吸收带,,2020-12-01
11547349,absorption coefficient,吸收系数,,2020-12-01
11547350,absorption current,吸收电流,,2020-12-01
11547351,absorption edge,吸收缘,,2020-12-01
11547352,absorption limit,吸收限,,2020-12-01
11547353,absorption refrigeration,吸收式制冷,,2020-12-01
11547354,absorption test,吸收[率]试验,,2020-12-01
11547355,absorption-type inhibiter,吸收型抑制剂,,2020-12-01
11547356,absorption-type inhibitor,吸收型抑制剂,,2020-12-01
11547357,absorptivity,吸收性；吸收率,,2020-12-01
11547358,Abyssinian gold,阿比西尼亚金｛含Cu约90%、Zn8%之拟金黄铜｝,,2020-12-01
11547359,AC impedance,交流阻抗,,2020-12-01
11547360,accelerated aging,加速老化｛橡胶｝,,2020-12-01
11547361,accelerated cement,速凝水泥,,2020-12-01
11547362,accelerated gum,速成胶,,2020-12-01
11547363,accelerator,催速剂；加速器,,2020-12-01
11547364,acceptor,受子；受体；受素；接受器,,2020-12-01
11547365,acceptor impurity,受体不纯物,,2020-12-01
11547366,acceptor level,受体能阶,,2020-12-01
11547367,accessory mineral,附生矿物,,2020-12-01
11547368,accommodation,适应；调节；容纳,,2020-12-01
11547369,accommodative intraocular lens,可调式人工水晶体,,2020-12-01
11547370,accumulation layer,堆积层,,2020-12-01
11547371,accumulator metal,铅酸蓄电池合金｛铅酸蓄电池电极用之铅合金｝,,2020-12-01
11547372,accuracy,精度,,2020-12-01
11547373,accuracy test,精度试验,,2020-12-01
11547374,acetabular cup,髋臼杯,,2020-12-01
11547375,acetate complexation,醋酸盐错合；醋酸盐络合,,2020-12-01
11547376,acetone,丙酮,,2020-12-01
11547377,acetylene,乙炔,,2020-12-01
11547378,acetylene black,乙炔碳黑｛磷酸燃料电池｝,,2020-12-01
11547379,acetylene tetrabromide,四溴化乙炔,,2020-12-01
11547380,Acheson furnace,艾其逊炉｛制碳化矽用电弧炉｝,,2020-12-01
11547381,Acheson process,艾其逊法｛用电弧炉制碳化矽｝,,2020-12-01
11547382,acicular cast iron,针状铸铁,,2020-12-01
11547383,acicular powder,针状粉末,,2020-12-01
11547384,acicular structure,针状组织,,2020-12-01
11547385,acid,酸,,2020-12-01
11547386,acid Bessemer converter,酸性柏思麦转炉,,2020-12-01
11547387,acid Bessemer process,酸性柏思麦法,,2020-12-01
11547388,acid Bessemer steel,酸性柏思麦钢,,2020-12-01
11547389,acid brick,酸性砖,,2020-12-01
11547390,acid brittleness,酸洗脆性,,2020-12-01
11547391,acid bronze,耐酸青铜,,2020-12-01
11547392,acid dip,酸浸,,2020-12-01
11547393,acid earth,酸性土,,2020-12-01
11547394,acid electric arc furnace,酸性电弧炉,,2020-12-01
11547395,acid electric furnace,酸性电炉,,2020-12-01
11547396,acid electrolyte fuel cell,酸性电解质燃料电池,,2020-12-01
11547397,acid embossing,酸刻,,2020-12-01
11547398,acid etching,酸蚀,,2020-12-01
11547399,acid flux,酸性助熔剂,,2020-12-01
11547400,acid frosting,酸霜法,,2020-12-01
11547401,acid halide,酸性卤化物；醯基卤；卤化醯基,,2020-12-01
11547402,acid hearth,酸性炉床；酸性炉膛,,2020-12-01
11547403,acid hydrolysis,酸性水解,,2020-12-01
11547404,acid lining,酸性衬；酸性炉衬,,2020-12-01
11547405,acid medium,酸性介质,,2020-12-01
