ID,英文名稱,中文名稱,圖片,更新日期
2502848,abnormal tide,异常潮,,2015-12-01
2502849,accommodation and power platform｛=APP｝,生活及动力平台,,2017-07-19
2502850,acoustic beacon,声波标向装置,,2015-12-01
2502851,acoustic positioning,声波定位,,2015-12-01
2502852,added mass,附加质量,,2015-12-01
2502853,aerodynamic noise,气动噪音,,2015-12-01
2502854,aerodynamics,空气动力学,,2015-12-01
2502855,aerofoil section,翼剖面,,2015-12-01
2502856,aerogenerator,气动发电机,,2015-12-01
2502857,after body,艉部,,2015-12-01
2502858,air bag,气袋,,2015-12-01
2502859,air breakwater,空气防波堤,,2015-12-01
2502860,air bubble screen,气泡幕,,2015-12-01
2502861,air entraining,空气卷入,,2015-12-01
2502862,air slider,空气滑槽,,2015-12-01
2502863,airfoil,翼剖面；机翼,,2015-12-01
2502864,airlift excavation,气升力开挖,,2015-12-01
2502865,airlift pump,气力扬升帮浦,,2015-12-01
2502866,Airy wave theory,微小振幅波理论,,2015-12-01
2502867,Aleutian depression,阿留申低气压,,2015-12-01
2502868,allowable stress,容许应力,,2015-12-01
2502869,amphidromic wave,无潮波,,2015-12-01
2502870,amplitude,振幅,,2015-12-01
2502871,amplitude spectrum,振幅谱,,2015-12-01
2502872,anchor deadweight,锚呆重,,2015-12-01
2502873,anchor holding capacity,锚碇能力,,2015-12-01
2502874,anchor pile,锚桩,,2015-12-01
2502875,anchor propellant,锚推进剂,,2015-12-01
2502876,anchor type wharf,锚碇式码头,,2015-12-01
2502877,anchor wall,锚碇墙,,2015-12-01
2502878,anchorage,锚碇,,2015-12-01
2502879,anemometer,风速计,,2015-12-01
2502880,angle of attack,攻角,,2015-12-01
2502881,angle of repose,安息角,,2015-12-01
2502882,angular frequency,角频率,,2015-12-01
2502883,angular spreading,角度扩散,,2015-12-01
2502884,anomalous condition,异常状态,,2015-12-01
2502885,antenna effect,天线效应,,2015-12-01
2502886,antinode,腹点；反节点,,2015-12-01
2502887,APP｛accommodation and power platform｝,生活及动力平台,,2017-07-19
2502888,apron,岸肩,,2015-12-01
2502889,aquafarm,海洋牧场,,2015-12-01
2502890,Arctic earthwork,北极土木工事,,2015-12-01
2502891,Arctic ecological considerations,北极生态考量,,2015-12-01
2502892,Arctic ice islands,北极冰层岛屿,,2015-12-01
2502893,Arctic ice pack,北极冰堆,,2015-12-01
2502894,Arctic icebreaking,北极破冰,,2015-12-01
2502895,Arctic logistics,北极物流,,2015-12-01
2502896,armor block breakwater,块石堤,,2015-12-01
2502897,armor unit,防护块,,2015-12-01
2502898,armour layer,块石层,,2015-12-01
2502899,artficial seaweed,人工海草,,2015-12-01
2502900,artificial  reef,人工鱼礁；人工潜礁,,2015-12-01
2502901,artificial sea forest,人工海中森林,,2015-12-01
2502902,artificial upwelling,人工涌升流,,2015-12-01
2502903,astronomical equinox,秋分点,,2015-12-01
2502904,astronomical fixation,天文定位,,2015-12-01
2502905,astronomical tide,天文潮,,2015-12-01
2502906,asymmetric mooring,非对称系留,,2015-12-01
2502907,atmospheric corrosion,大气腐蚀,,2015-12-01
2502908,atmospheric icing,大气冰冻,,2015-12-01
2502909,attenuation distance,减衰距离,,2015-12-01
2502910,attitude measurement,高程量测,,2015-12-01
2502911,autocorrelation function,自相关函数,,2015-12-01
2502912,autumnal equinox,秋分,,2015-12-01
2502913,auxiliary corrosion,辅助腐蚀,,2015-12-01
2502914,axial flow turbine,轴流涡轮,,2015-12-01
2502915,azimuth angle,方位角,,2015-12-01
2502916,backet dredger,抓斗式挖泥船,,2015-12-01
2502917,ballast,压舱载,,2015-12-01
2502918,bar,沙洲,,2015-12-01
2502919,barge,驳船,,2015-12-01
2502920,barge bumper,防撞碰垫；靠船缓冲驳船,,2015-12-01
2502921,baroclinic,斜压的,,2015-12-01
2502922,barotropic,正压的,,2015-12-01
2502923,base line,基线,,2015-12-01
2502924,base raft,基础筏,,2015-12-01
2502925,basin,港池,,2015-12-01
2502926,bathymetry,海域地形,,2015-12-01
2502927,bathystrophic storm tide,地转暴潮,,2015-12-01
2502928,batter(raker) pile,斜桩,,2015-12-01
2502929,belled pile,钟形桩,,2015-12-01
2502930,bench mark,水准点,,2015-12-01
2502931,bending moment,弯矩,,2015-12-01
2502932,benthos,底栖生物,,2015-12-01
2502933,berth,船席,,2015-12-01
2502934,berthing energy coefficient,靠岸能量系数,,2015-12-01
2502935,binary cycle,二元流体循环,,2015-12-01
2502936,biofouling,生物污垢,,2015-12-01
2502937,biological corosion,生物腐蚀,,2015-12-01
2502938,bitt,系缆柱,,2015-12-01
2502939,blade pitch control,叶片间距控制,,2015-12-01
2502940,blue energy,海洋能,,2015-12-01
2502941,boatel,游艇旅馆,,2015-12-01
2502942,bollard,系缆柱；曲柱,,2015-12-01
2502943,bora,怖风,,2015-12-01
2502944,bore,段波,,2015-12-01
2502945,boring,钻探,,2015-12-01
2502946,bottom mapping system,海底测绘系统,,2015-12-01
2502947,brash ice,破冰,,2015-12-01
2502948,breakwater,防波堤,,2015-12-01
2502949,breasting dolphin,系船台,,2015-12-01
2502950,brittle fracture,脆性破裂,,2015-12-01
2502951,buffer zone,缓冲带,,2015-12-01
2502952,bumper,缓冲器,,2015-12-01
2502953,bundled pipes,束管,,2015-12-01
2502954,buoy,浮标；浮球；浮筒,,2015-12-01
2502955,cable array,电缆阵列,,2015-12-01
2502956,cable function,电缆功能,,2015-12-01
2502957,cable laying,敷设电缆,,2015-12-01
2502958,cable plow,电缆犁,,2015-12-01
2502959,caisson,沉箱,,2015-12-01
2502960,caisson ballast forces,沉箱压舱力,,2015-12-01
2502961,caisson cell,沉箱隔舱,,2015-12-01
2502962,caisson gravity base,沉箱重力基底,,2015-12-01
2502963,caisson overpressure,沉箱超压,,2015-12-01
2502964,caisson type breakwater,沉箱式防波堤,,2015-12-01
2502965,caisson-retained islands,沉箱围成岛,,2015-12-01
2502966,calmness,静稳度,,2015-12-01
2502967,cantilever type wharf,悬臂式码头,,2015-12-01
2502968,cap rock,盖岩,,2015-12-01
2502969,carbon content,碳含量,,2015-12-01
2502970,carbon equivalent,碳当量,,2015-12-01
2502971,cargo handling machine,装卸机械,,2015-12-01
2502972,catenary,悬垂线,,2015-12-01
2502973,catenary anchored platform,悬垂锚碇平台,,2015-12-01
2502974,cathodic protection,阴极保护,,2015-12-01
2502975,cavitation,穴蚀,,2015-12-01
2502976,cavity resonance,空腔共振,,2015-12-01
2502977,cell circulation system,封闭性环流,,2015-12-01
2502978,cellular block type breakwater,中空方块防波堤,,2015-12-01
2502979,cellular cofferdam,细胞状围堰,,2015-12-01
2502980,cementation of soil,土壤固化,,2015-12-01
2502981,centralized power generating system,集中式发电系统,,2015-12-01
2502982,channel dredging,水道疏濬,,2015-12-01
2502983,characteristic time,特征时间,,2015-12-01
2502984,chart,海图,,2015-12-01
2502985,circulation current,环流,,2015-12-01
2502986,clam wave energy converter,蚌式波能转换器,,2015-12-01
2502987,clamshell dredge,抓斗式浚渫,,2015-12-01
2502988,clamshell dredger,蚌壳式挖泥机,,2015-12-01
2502989,clapotis,重复波；驻波,,2015-12-01
2502990,closed cycle OTEC,封闭式海洋温差发电,,2015-12-01
2502991,closed cycle system,封闭式循环系统,,2015-12-01
2502992,closed-loop feedback control,闭式回馈控制,,2015-12-01
2502993,closure depth,终端水深,,2015-12-01
2502994,cnoidal wave,椭圆函数波,,2015-12-01
2502995,coal slurry,煤浆,,2015-12-01
2502996,coatings for concrete,混凝土被覆,,2015-12-01
2502997,cofferdam,围堰；堰舱,,2015-12-01
2502998,cold front,冷锋,,2015-12-01
2502999,cold water pipe｛=CWP｝,冷水管,,2017-07-19
2503000,colloid,胶体,,2015-12-01
2503001,column alignment,柱状排列,,2015-12-01
2503002,column end conditions,柱端条件,,2015-12-01
2503003,combined development of offshore oil-gas field group,海上油气田群联合开发,,2015-12-01
2503004,compensation current,补偿流,,2015-12-01
2503005,compliant tower,顺波塔,,2015-12-01
2503006,component tide,分潮,,2015-12-01
2503007,component wave,成份波,,2015-12-01
2503008,composite breakwater,混成堤,,2015-12-01
2503009,composite construction,复合构造,,2015-12-01
2503010,composite slope,复合坡度,,2015-12-01
2503011,compound coast,复合海岸,,2015-12-01
2503012,concentration,浓度；含固率,,2015-12-01
2503013,concentration cell corrosion,保留,,2015-12-01
2503014,concrete block breakwater,块体堤,,2015-12-01
2503015,concrete bond,混凝土黏结,,2015-12-01
2503016,concrete grout,混凝土薄浆,,2015-12-01
2503017,concrete permeability,混凝土透水性,,2015-12-01
2503018,concrete placement,混凝土浇铸,,2015-12-01
2503019,concrete sulfate resistance,混凝土抗硫,,2015-12-01
2503020,condenser,冷凝器,,2015-12-01
2503021,conservation of marine resources,海洋资源保护；海洋资源保育,,2015-12-01
2503022,consolidation,压密；固结,,2015-12-01
2503023,constructibility,可建造性,,2015-12-01
2503024,construction joint,施工接头；施工缝,,2015-12-01
2503025,construction tolerance,建筑公差,,2015-12-01
2503026,contact pressure,接触压力,,2015-12-01
2503027,container ship,货柜船,,2015-12-01
2503028,continental shelf,大陆棚,,2015-12-01
2503029,continuous beam,连续梁,,2015-12-01
2503030,contour,等高线；等深线；等值线,,2015-12-01
2503031,conversion efficiency,转换效率,,2015-12-01
2503032,conveyer,运输带；输送机,,2015-12-01
2503033,coring vessel,岩心取样船,,2015-12-01
2503034,Coriolis coefficient,柯氏系数,,2015-12-01
2503035,Coriolis force,柯氏力,,2015-12-01
2503036,corrosion  baracle,防蚀块,,2015-12-01
2503037,corrosion allowance,腐蚀容许量,,2015-12-01
2503038,corrosion anode,腐蚀阳极,,2015-12-01
2503039,corrosion cathode,腐蚀阴极,,2015-12-01
2503040,corrosion coating,防蚀涂层,,2015-12-01
2503041,corrosion crevice,腐蚀缝隙,,2015-12-01
2503042,corrosion current density,腐蚀电流密度,,2015-12-01
2503043,corrosion fatigue,腐蚀疲劳,,2015-12-01
2503044,corrosion oxide film,腐蚀氧化膜,,2015-12-01
2503045,corrosion pitting,斑蚀,,2015-12-01
2503046,corrosion protection rectifier,防蚀保护整流器,,2015-12-01
2503047,corrosion tensile stress,腐蚀拉应力,,2015-12-01
2503048,counter weight,平衡重量,,2015-12-01
2503049,counter-rotating turbine,反向旋转涡轮,,2015-12-01
2503050,crane barge,起重机驳船,,2015-12-01
2503051,crane operator,吊车操作员,,2015-12-01
2503052,crane pedestal,起重机基座,,2015-12-01
2503053,crasher,粉碎机,,2015-12-01
2503054,crew boat,交通艇,,2015-12-01
2503055,criteria consideration design,考虑规范之设计,,2015-12-01
2503056,critical damping,临界阻尼,,2015-12-01
2503057,critical depth,临界水深,,2015-12-01
2503058,critical velocity,临界流速,,2015-12-01
2503059,cross flow turbine,横流涡轮,,2015-12-01
2503060,cross-axis thrust,横向推力,,2015-12-01
2503061,cross-flow turbine,横流涡轮机,,2015-12-01
2503062,cumulative damage,累积破坏,,2015-12-01
2503063,curl,涡度,,2015-12-01
2503064,curtain wall breakwater,气幕式防波堤,,2015-12-01
2503065,cut-in wind speed,切入风速,,2015-12-01
2503066,cut-out speed,切出速度,,2015-12-01
2503067,cutter,滚刀,,2015-12-01
2503068,CWP｛cold water pipe｝,冷水管,,2017-07-19
2503069,cyclic loads,往复荷载,,2015-12-01
2503070,cylinder group,圆柱群,,2015-12-01
2503071,cylinder pile,圆形桩,,2015-12-01
2503072,cylindrical shell,圆柱形薄壳,,2015-12-01
2503073,damage of coastal water conservancy project,近岸水域保全计划的破坏,,2015-12-01
2503074,damped vibration,阻尼振动,,2015-12-01
2503075,damping coefficient,阻尼系数,,2015-12-01
2503076,damping factor,阻尼因子,,2015-12-01
2503077,dash pot,阻尼器,,2015-12-01
2503078,datum level,基准面,,2015-12-01
2503079,dead slow speed,最低速,,2015-12-01
2503080,decay distance,减衰距离,,2015-12-01
2503081,decompression,减压,,2015-12-01
2503082,decontamination facilities,除污设施,,2015-12-01
2503083,deep foundations,深基础,,2015-12-01
2503084,deep penetration profiler,深层贯入剖面仪,,2015-12-01
2503085,deep water wave,深水波,,2015-12-01
2503086,deepwater reeling,深水电缆卷盘,,2015-12-01
2503087,deflection force,偏向力,,2015-12-01
2503088,deformation load,变形荷载,,2015-12-01
2503089,densification of underwater fills,水下填充加密,,2015-12-01
2503090,density current,密度流,,2015-12-01
2503091,depth profiles,水深剖面,,2015-12-01
2503092,derrick,塔架,,2015-12-01
2503093,descending node,降交点,,2015-12-01
2503094,design currents,设计海流,,2015-12-01
2503095,design typhoon,设计台风,,2015-12-01
2503096,design wave,设计波浪,,2015-12-01
2503097,design wave spectrum,设计波谱,,2015-12-01
2503098,detached breakwater,离岸堤,,2015-12-01
2503099,detached wharf,离岸码头,,2015-12-01
2503100,developing sea,成长波域,,2015-12-01
2503101,deviation of tidal level,潮位偏差,,2015-12-01
2503102,diffraction,绕射,,2015-12-01
2503103,dipper dredger,铲式挖泥船,,2015-12-01
2503104,direct-drive generator,直接驱动发电机,,2015-12-01
2503105,directional spreading function,方向分散函数,,2015-12-01
2503106,directional wave spectrum,方向波谱,,2015-12-01
2503107,dispersion relation,分散关系,,2015-12-01
2503108,displacement tonnage,排水吨位,,2015-12-01
2503109,distorted model,歪比模型,,2015-12-01
2503110,distortion ratio,歪比率,,2015-12-01
2503111,diurnal ineqality,潮汐不等,,2015-12-01
2503112,dolphin,系船台；系船桩,,2015-12-01
2503113,double-acting turbine,双作用涡轮,,2015-12-01
2503114,double-peaked spectrum,双峰谱,,2015-12-01
2503115,down time,停机期,,2015-12-01
2503116,draft,吃水,,2015-12-01
2503117,drag coefficient,拖曳力系数,,2015-12-01
2503118,drag force,拖曳力,,2015-12-01
2503119,dredge barge,挖泥船,,2015-12-01
2503120,dredger,挖泥船,,2015-12-01
2503121,dredging,浚渫,,2015-12-01
2503122,drift current,漂流,,2015-12-01
2503123,drift sand,漂沙,,2015-12-01
2503124,drifting force,漂流力,,2015-12-01
2503125,drill string compensator｛=DSC｝,钻柱运动补偿器,,2017-07-19
2503126,drilling,钻探；钻井,,2015-12-01
2503127,drilling platform,钻井平台,,2015-12-01
2503128,drilling vessel,钻井船；钻探船,,2015-12-01
