ID,英文詞彙,中文詞彙,更新日期
21409451,3-methyl-histidine,3-甲基组胺酸,2026-08-07
21409452,5‐hydroxytryptamine,5-羟基色胺；血清素,2026-08-07
21409453,5-hydroxytryptamine (5HT),5-羟色胺；血清素,2026-08-07
21409454,à la carte ,点菜,2026-08-07
21409455,à la paysanne,农家菜,2026-08-07
21409456,à la plancha,铁板烧,2026-08-07
21409457,abalone,鲍鱼,2026-08-07
21409458,abboccato,微甜葡萄酒,2026-08-07
21409459,abdominal obesity,腹部肥胖,2026-08-07
21409460,abetalipoproteinemia,无β脂蛋白血症,2026-08-07
21409461,abiu,黄金果,2026-08-07
21409462,abocada,半甜酒,2026-08-07
21409463,absinthe,苦艾；洋艾,2026-08-07
21409464,absolute alcohol,无水酒精,2026-08-07
21409465,absolute temperature,绝对温度,2026-08-07
21409466,acai berry,巴西莓,2026-08-07
21409467,acarbose,阿卡波糖,2026-08-07
21409468,acaricides,杀螨剂,2026-08-07
21409469,accelase,乳酪速熟酶,2026-08-07
21409470,accelerated freeze-drying (AFD),加速冷冻干燥,2026-08-07
21409471,acceptable daily intake (ADI),每日可接受摄取量；每日容许摄取量,2026-08-07
21409472,accoub,地中海食用蓟,2026-08-07
21409473,accredited milk,合格乳,2026-08-07
21409474,acerola,西印度樱桃,2026-08-07
21409475,acesulphame,安赛蜜 {一种无热量的甜味剂},2026-08-07
21409476,acetic acid,醋酸；乙酸,2026-08-07
21409477,acetoacetate,乙醯乙酸酯；乙醯乙酸盐,2026-08-07
21409478,Acetobacter,醋酸菌属,2026-08-07
21409479,acetoin,乙醯乙醇,2026-08-07
21409480,acetone,丙酮,2026-08-07
21409481,acetyl CoA,乙醯基辅酶A,2026-08-07
21409482,acetylated monoglyceride,乙醯化甘油单酸酯；乙醯化单酸甘油酯,2026-08-07
21409483,acetylcholine,乙醯胆碱,2026-08-07
21409484,acetylene,乙炔,2026-08-07
21409485,ACH index,ACH指数；臂胸臀指数,2026-08-07
21409486,acha rice,阿卡米 {小米的一种，又称为fonio},2026-08-07
21409487,achalasia,平滑肌弛缓不能,2026-08-07
21409488,achene,瘦果,2026-08-07
21409489,achiote,胭脂树红,2026-08-07
21409490,achira,美人蕉,2026-08-07
21409491,achlorhydria,胃酸缺乏症,2026-08-07
21409492,acholia,胆汁缺乏症,2026-08-07
21409493,achromotricia,毛发褪色症,2026-08-07
21409494,acid,酸,2026-08-07
21409495,acid drops,酸滴剂,2026-08-07
21409496,acid foods,酸性食品；酸性食物,2026-08-07
21409497,acid number,酸值；酸价,2026-08-07
21409498,acidic amino acid,酸性胺基酸,2026-08-07
21409499,acidity,酸性；酸度,2026-08-07
21409500,acidity regulators,酸度调节剂,2026-08-07
21409501,acidophilin,嗜酸菌发酵乳,2026-08-07
21409502,acidophilus milk,嗜酸菌乳,2026-08-07
21409503,acidophilus therapy,嗜酸菌疗法,2026-08-07
21409504,acidosis,酸血症；酸中毒,2026-08-07
21409505,acidulants,酸化剂,2026-08-07
21409506,ackee,阿开木；西非荔枝果,2026-08-07
21409507,acne,痤疮；粉刺,2026-08-07
21409508,acorn,栎实；槲实,2026-08-07
21409509,acrodermatitis enteropathica,肠病性肢端皮肤炎,2026-08-07
21409510,acrodynia,肢痛症,2026-08-07
21409511,acrolein,丙烯醛,2026-08-07
21409512,actin,肌动蛋白,2026-08-07
21409513,actinidain,猕猴桃蛋白酶 {又称奇异果蛋白酶},2026-08-07
21409514,activation energy,活化能,2026-08-07
21409515,activators,活化剂,2026-08-07
21409516,active packaging,活性包装,2026-08-07
21409517,active transport,主动运输,2026-08-07
21409518,actometer,行动量测器,2026-08-07
21409519,acute phase proteins,急性期蛋白,2026-08-07
21409520,acyl CoA,醯基辅酶A,2026-08-07
21409521,acylglycerol,醯基甘油,2026-08-07
21409522,ad libitum,任食,2026-08-07
21409523,adai,印度煎饼,2026-08-07
21409524,adaptogens,本草调理素,2026-08-07
21409525,additive,添加物；添加剂,2026-08-07
21409526,adenine,腺嘌呤,2026-08-07
21409527,adenosine,腺苷；腺核苷,2026-08-07
21409528,adenosine diphosphate (ADP),腺苷二磷酸；腺核苷二磷酸,2026-08-07
21409529,adequate intake (AI),足够摄取量,2026-08-07
21409530,adipectomy,皮下脂肪切除术,2026-08-07
21409531,adipocyte,脂肪细胞,2026-08-07
21409532,adipocytokines,脂肪细胞因子；脂肪细胞素,2026-08-07
21409533,adiponectin,脂联素,2026-08-07
21409534,adipophilin,脂肪细胞分化蛋白,2026-08-07
21409535,adipose tissue,脂肪组织,2026-08-07
21409536,adiposis,肥胖症；脂肪过多症,2026-08-07
21409537,adiposity,肥胖,2026-08-07
21409538,adipsia,不渴症,2026-08-07
21409539,adipsin,降脂蛋白,2026-08-07
21409540,adjunct culture,细菌菌酛,2026-08-07
21409541,adlay,薏苡；薏仁,2026-08-07
21409542,adrenaline,肾上腺素,2026-08-07
21409543,adsorbent,吸附剂,2026-08-07
21409544,adsorption,吸附；吸附作用,2026-08-07
21409545,adulteration,掺假,2026-08-07
21409546,adverse reaction food,食物不良反应,2026-08-07
21409547,adzuki bean,红豆,2026-08-07
21409548,aerated bread,充气面包,2026-08-07
21409549,aerobic,好氧的,2026-08-07
21409550,Aeromonas hydrophila,嗜水产气单胞菌,2026-08-07
21409551,aerosol cream,乳脂喷灌；鲜奶油喷罐,2026-08-07
21409552,aerosporin,气孢菌素,2026-08-07
