ID,英文名稱,中文名稱,圖片,更新日期
9357260,model scale,模型缩尺,,2020-08-25
9357261,model ship correlation allowance,模型实船相关裕度,,2020-08-25
9357262,model test,模型试验,,2020-08-25
9357263,modelling,模拟；建立模型；模型制造；仿装；靠模加工,,2020-08-25
9357264,model-milling machine,模型加工铣床,,2020-08-25
9357265,model-profiling machine,靠模工具机；仿形工具机,,2020-08-25
9357266,model-ship correlation line,船模-实船相关线,,2020-08-25
9357267,moderate breeze,和风；四级风{风速11~16节},,2020-08-25
9357268,moderate gale,疾风；七级风{风速28~33节},,2020-08-25
9357269,moderate sea,中浪{三级浪},,2020-08-25
9357270,modified zigzag test,变舵角Z型操纵试验,,2020-08-25
9357271,MODP {mobile offshore drilling platform},移动式近海钻探平台,,2020-08-25
9357272,MODR {mobile offshore drilling rig},移动式近海钻探平台；移动式近海钻探装置,,2020-08-25
9357273,MODU CODE {Code for the Construction and Equipment of Mobile Offshore Drilling Units},移动式近海钻探装置建造及设备章程,,2020-08-25
9357274,modular deck,模组甲板,,2020-08-25
9357275,modular unit,模组单元；可互换标准件,,2020-08-25
9357276,modularity,模组化,,2020-08-25
9357277,modulating frequency,调变频率,,2020-08-25
9357278,modulation,调变,,2020-08-25
9357279,modulator,调变器；调幅器,,2020-08-25
9357280,modulator-demodulator,调制解调制装置,,2020-08-25
9357281,module,模组；模件,,2020-08-25
9357282,module design,模组设计,,2020-08-25
9357283,modulus,模数；模量；系数；模,,2020-08-25
9357284,modulus of dilatation,膨胀模数,,2020-08-25
9357285,modulus of elasticity,弹性系数；弹性模数,,2020-08-25
9357286,modulus of inelastic buckling,非弹性挫曲模数,,2020-08-25
9357287,modulus of rigidity,刚性模数；剪切模数；刚性系数,,2020-08-25
9357288,modulus of rupture,断裂模量；折断模数,,2020-08-25
9357289,moist steam,湿蒸汽,,2020-08-25
9357290,moisture,水分；湿度,,2020-08-25
9357291,moisture catcher,脱水器；干燥剂；吸湿器,,2020-08-25
9357292,moisture indicator,湿度指示器,,2020-08-25
9357293,moisture proof,防潮；防湿,,2020-08-25
9357294,moisture resistant insulating material,抗湿绝缘材料,,2020-08-25
9357295,moisture trap,除湿机,,2020-08-25
9357296,molasses boat,糖蜜船,,2020-08-25
9357297,molasses tanker,糖蜜船,,2020-08-25
9357298,mold,模；铸模,,2020-08-25
9357299,mold capacity,型容积,,2020-08-25
9357300,mold loft,放样间,,2020-08-25
9357301,mold loft batten,放样木条,,2020-08-25
9357302,mold loft floor,放样台,,2020-08-25
9357303,mold loft on reduced scale,缩尺放样,,2020-08-25
9357304,mold loft work,放样工作,,2020-08-25
9357305,mold plan,型图{放样},,2020-08-25
9357306,molded body,型体,,2020-08-25
9357307,molded breadth,模宽；型宽,,2020-08-25
9357308,molded centerline,型中心线；理论中心线,,2020-08-25
9357309,molded depth,模深；型深,,2020-08-25
9357310,molded dimension,模尺寸；型尺寸,,2020-08-25
9357311,molded displacement,模排水量；型排水量,,2020-08-25
9357312,molded draft,模吃水；型吃水量,,2020-08-25
9357313,molded draught,模吃水；型吃水,,2020-08-25
9357314,molded hull surface,船[体]型面,,2020-08-25
9357315,molded line,模线；型线,,2020-08-25
9357316,molded volume,型排水体积,,2020-08-25
9357317,molder,铸工；翻砂工,,2020-08-25
9357318,molding,缘材；造模翻砂；成型；塑模；模造；模制品；模造物,,2020-08-25
9357319,molding machine,造模机；塑造机,,2020-08-25
9357320,Mollier diagram,蒸汽线图,,2020-08-25
9357321,molten metal,熔态金属,,2020-08-25
9357322,molten pool,熔[化]池{銲接},,2020-08-25
9357323,molten slag,熔渣,,2020-08-25
9357324,molten sulphur carrier,熔硫运输船,,2020-08-25
9357325,moment,力矩,,2020-08-25
9357326,moment distribution method,力矩分配法,,2020-08-25
9357327,moment of area,面积矩,,2020-08-25
9357328,moment of couple,力偶矩,,2020-08-25
9357329,moment of force,力矩,,2020-08-25
9357330,moment of inertia,惯性矩,,2020-08-25
9357331,moment of mass,质量矩,,2020-08-25
9357332,moment of momentum,动量矩,,2020-08-25
9357333,moment of spectrum,谱矩,,2020-08-25
9357334,moment to change trim one cm {=MTC},每公分俯仰差力矩,,2020-08-25
9357335,moment to change trim one inch {=MTI},每吋俯仰差力矩,,2020-08-25
9357336,momentum,动量,,2020-08-25
9357337,momentum theory,动量理论,,2020-08-25
9357338,momentum thickness,动量厚度,,2020-08-25
9357339,Monel clad steel,蒙钠护面纲,,2020-08-25
9357340,Monel cladding,蒙纳合金包层,,2020-08-25
9357341,Monel metal,蒙纳合金{镍铜合金},,2020-08-25
9357342,monitor,监视器；侦测器；喷射器,,2020-08-25
9357343,monitor valve,监控阀,,2020-08-25
9357344,monitoring,监视；监听；监测,,2020-08-25
9357345,monitoring circuit,监控电路,,2020-08-25
9357346,monitoring panel,监测屏；监测盘,,2020-08-25
9357347,monkey,落锤头,,2020-08-25
9357348,monkey block,单轮转环小滑车,,2020-08-25
9357349,monkey boat,坞内工作小艇；平底小河船；半甲板艇,,2020-08-25
9357350,monkey bridge,纵向天桥,,2020-08-25
9357351,monkey forecastle,[后端开敞之]短[低]艏艛,,2020-08-25
9357352,monkey poop,高艉主甲板上之甲板室,,2020-08-25
9357353,monkey spanner,活动扳手,,2020-08-25
9357354,monkey wrench,活动扳钳,,2020-08-25
9357355,mono hull,单船体,,2020-08-25
9357356,mono hull ship,单体船,,2020-08-25
9357357,mono rail hoist,单轨吊车,,2020-08-25
9357358,monobloc unit,整装机组,,2020-08-25
9357359,monoblock casting,整体铸件,,2020-08-25
9357360,monobuoy,单[点系泊]浮筒；整体浮标,,2020-08-25
9357361,monochromatic wave,单频波,,2020-08-25
9357362,monocline,单斜层；单斜折皱,,2020-08-25
9357363,monocoque,硬壳[结构],,2020-08-25
9357364,mono-fracture mode,单调断口模式,,2020-08-25
9357365,monohedron,单面体；可展成平面的壳体,,2020-08-25
9357366,monohedron boat,单向可展外板光【舟必】艇,,2020-08-25
9357367,monohedron lines,单曲面线型,,2020-08-25
9357368,mono-hull,单[胴]体船,,2020-08-25
9357369,monohull craft,单体船,,2020-08-25
9357370,monolithic ship,单体结构船,,2020-08-25
9357371,monomoy surf boat,[美国海岸防卫队]救生及一般用小艇,,2020-08-25
9357372,monopod type unit,单柱式平台,,2020-08-25
9357373,monopole,单极,,2020-08-25
9357374,monorail chain block,单轨链滑车,,2020-08-25
9357375,monosoon,季[节]风；贸易风,,2020-08-25
9357376,mono-tube type boiler,单盘管式锅炉,,2020-08-25
9357377,moonpool,通海井；月池,,2020-08-25
9357378,moonraker,顶桅轻帆,,2020-08-25
9357379,moonsail,顶桅轻帆,,2020-08-25
9357380,moored condition,系泊状态,,2020-08-25
9357381,moored mine,系留水雷,,2020-08-25
9357382,mooring,系泊；锚泊；锚泊法,,2020-08-25
9357383,mooring anchor,系泊锚；碇泊锚,,2020-08-25
9357384,mooring arrangement,系泊装置,,2020-08-25
9357385,mooring arrangement test,系泊装置试验,,2020-08-25
9357386,mooring bitt,系缆柱；系船桩,,2020-08-25
9357387,mooring block,系泊锚,,2020-08-25
9357388,mooring boat,带缆船,,2020-08-25
9357389,mooring bollard,系缆桩,,2020-08-25
9357390,mooring bracket,系泊托架,,2020-08-25
9357391,mooring bridle,固定锚锚炼；系船索；系船短缆,,2020-08-25
9357392,mooring buoy,系泊浮筒,,2020-08-25
