ID,英文詞彙,中文詞彙,更新日期
21331200,100 metres,100公尺(田径),
21331201,10000 metres,一万公尺(田径),
21331202,10000m points race,10000公尺记点赛,
21331203,1000m time trial,个人计时赛(1000m),
21331204,10m air pistol,10 公尺空气手枪,
21331205,10m air rifle (standing),10 公尺空气步枪(立姿),
21331206,10m running target (slow and fast runs),10 公尺移动靶(慢速 和快速),
21331207,10m running target mixed (slow and fast runs),10 公尺移动混合靶(慢速和快速),
21331208,110m hurdles,110公尺跨栏(田径),
21331209,15 Meters Zone,15公尺标示线,
21331210,1500 metres,1500公尺(田径),
21331211,180 frontside ollie,转体180度,
21331212,1st flight,第一腾空,
21331213,2 on 1,2打1,
21331214,200 metres,200公尺(田径),
21331215,20000m elimination,20000 公尺淘汰赛（滑轮溜冰）,
21331216,20km race walk,20公里竞走,
21331217,23 meters area,23公尺区,
21331218,25m center fire pistol (preci sion and rapid-fire series),25 公尺中火手枪(慢射和快射组次),
21331219,25m pistol (precision and rapid fire series),25 公尺手枪(慢射和快射组次),
21331220,25m rapid fire pistol {8、 6 and 4 second series},25m rapid fire pistol ｛8 、6 and 4 second series｝,
21331221,25m standard pistol {150、 20and 10 sec. series},25 公尺标准手枪｛150、20 和 10 秒组次｝,
21331222,2nd flight,第二腾空,
21331223,3 on 3,3对3斗牛,
21331224,3-2-1 Defense,3-2-1防守,
21331225,"3,000 m steeplechase",3000公尺障碍赛(田径),
21331226,300m sprint tournament,300公尺争先赛｛滑轮溜冰｝,
21331227,3000m relays,3000公尺接力赛,
21331228,300m rifle 3-positions {kneeling、 prone、 standing},300 公尺步枪 3 姿｛跪姿、卧姿、立姿｝,
21331229,300m rifle prone,300 公尺步枪卧姿,
21331230,300m standard rifle 3-positions {kneeling、 prone、 standing},300 公尺标准步枪 3姿｛跪姿、卧姿、立姿｝,
21331231,360 degree spinning kick,360度后旋踢,
21331232,360 〬jump,360度跳转,
21331233,360 shove-it kickflip,转体360度,
21331234,4*100 relay,400公尺接力(田径),
21331235,4*400 relay,1600公尺接力(田径),
21331236,400 metres,400公尺(田径),
21331237,400m hurdles,400公尺跨栏(田径),
21331238,470 class,470级帆船,
21331239,49er,49人型帆船,
21331240,5-1 Attack Type,5-1攻击阵式(手球),
21331241,5-1 Defense,5-1防守(手球),
21331242,5000 metres,5000 公尺(田径),
21331243,500m time trial,个人计时赛(500m),
21331244,50km race walk,50公里竞走(田径),
21331245,50m pistol,50 公尺手枪,
