ID,英文名詞,中文名詞,審譯日期,更新日期
21381924,abrasion action,磨蚀作用,113.06.14,2025-11-13
21381925,abrasives,研磨料；研磨物,113.06.14,2026-04-30
21381926,absolute age,绝对年龄,113.06.14,2026-04-30
21381927,absolute dating,绝对定年,113.06.14,2025-11-13
21381928,absolute solid density,绝对固体密度,113.04.25,2026-04-30
21381929,absorbed layer,吸收层,113.06.14,2026-04-30
21381930,absorbed water,吸收水,113.06.14,2026-04-30
21381931,absorption limit,吸收界限,113.06.14,2026-04-30
21381932,absorption loss,吸收损失,113.06.14,2026-04-30
21381933,abutment,桥台；坝座,113.06.14,2026-04-30
21381934,abutment wall,桥台翼墙,113.06.14,2026-04-30
21381935,abysmal deposit,深海沉积,113.06.14,2026-04-30
21381936,acceptable wave condition,容许波浪条件,113.06.14,2026-04-30
21381937,accident investigation,意外调查；事故调查,113.06.14,2026-04-30
21381938,accident report,意外事件报告；意外事故报告,113.06.14,2026-04-30
21381939,accident statistics,意外事件统计；意外事故统计,113.06.14,2026-04-30
21381940,accidental loading,意外荷载；意外载重,113.06.14,2025-11-13
21381941,accredited private laboratory,认证私营实验室,113.06.14,2026-04-30
21381942,accumulated deformation,累积变形,113.06.14,2026-04-30
21381943,accuracy,精度,113.06.14,2026-04-30
21381944,acidic corrosion,酸性腐蚀,113.06.14,2026-04-30
21381945,acidic igneous rock,酸性火成岩,113.06.14,2026-04-30
21381946,acidity and alkalinity test,酸碱度试验,113.06.14,2026-04-30
21381947,acidity test,酸度试验,113.06.14,2026-04-30
21381948,acid-pickling,酸洗；酸浸,113.06.14,2026-04-30
21381949,acoustic detection,声辐探测,113.06.14,2025-11-13
21381950,Acoustic Doppler Current Profiler (ADCP),声波都卜勒流速剖面量测仪；声波都卜勒流剖仪,113.06.14,2026-04-30
21381951,acoustic emission monitoring,声射监测；音射监测,113.06.14,2026-04-30
21381952,acoustic exploration,声辐探勘,113.06.14,2026-04-30
21381953,acoustic frequency geo-electric field method,声频大地电场法,113.06.14,2026-04-30
21381954,acoustic piezometer,声辐测压计,113.06.14,2026-04-30
21381955,acrylamide grouting,丙烯醯胺灌浆,113.06.14,2026-04-30
21381956,active clay,活性黏土,113.06.14,2026-04-30
21381957,active earth pressure,主动土压力,113.04.19,2025-11-13
21381958,active fault,活动断层,113.06.14,2026-04-30
21381959,active isolation,主动隔振；主动隔离,113.06.14,2026-04-30
21381960,active period,活动期；活跃期,113.06.14,2026-04-30
21381961,active stabilizer,活性稳定剂,113.06.14,2026-04-30
21381962,active state,主动状态,113.06.14,2026-04-30
21381963,active water,活性水,113.06.14,2026-04-30
21381964,active zone,主动区；活性区,113.06.14,2026-04-30
21381965,activity,活性,113.06.14,2026-04-30
21381966,activity index,活性指数,113.04.19,2025-11-13
21381967,additional stress,额外应力,113.06.14,2026-04-30
21381968,adhesion,黏著力；黏著作用,113.06.14,2026-04-30
21381969,adhesive,黏合剂；黏著剂,113.06.14,2026-04-30
21381970,admiralty chart,海图,113.06.14,2026-04-30
21381971,admixture,掺料；混合物,113.06.14,2026-04-30
