ID,英文名稱,中文名稱,圖片,更新日期
3814505,abacus instruction,珠算教学,,2023-01-17
3814506,ability distribution,能力分布,,2023-01-17
3814507,ability grouping,能力分组,,2023-01-17
3814508,ability identification,能力鉴定,,2023-01-17
3814509,ability level,能力层次；能力水准,,2023-01-17
3814510,abridged scientific literacy instrument,简化式科学素养工具,,2023-01-17
3814511,absolute value,绝对值,,2023-01-17
3814512,abstract intelligence,抽象智力,,2023-01-17
3814513,abstract level,抽象层次,,2023-01-17
3814514,abstract reasoning,抽象推理,,2023-01-17
3814515,academic ability,学业能力；学术能力,,2023-01-17
3814516,academic achievement,学业成就；学术成就,,2023-01-17
3814517,academic aptitude,学业性向；学术性向,,2023-01-17
3814518,academic aspiration,学业抱负；学术抱负,,2023-01-17
3814519,academic enrichment,学业充实法,,2023-01-17
3814520,academic failure,学业失利,,2023-01-17
3814521,academic interest measure,学业兴趣测量,,2023-01-17
3814522,academic performance,学业表现,,2023-01-17
3814523,academic probation,学业预警,,2023-01-17
3814524,academic rank,学术等级；学业等第；学术排名,,2023-01-17
3814525,academic record,学业成绩,,2023-01-17
3814526,academic self concept scale,学业自我概念量表,,2023-01-17
3814527,academic standards,学业标准,,2023-01-17
3814528,academic structure,学术结构,,2023-01-17
3814529,academic talent search program,学术人才发掘计划,,2023-01-17
3814530,academically gifted,学业资优；学术资优,,2023-01-17
3814531,academiccally handicapped,学业障碍,,2023-01-17
3814532,academiccally oriented preschool program,学业导向学前计划,,2023-01-17
3814533,acadmeic ability test,学业能力测验,,2023-01-17
3814534,accelerated course,加速课程,,2023-01-17
3814535,accommodation,调适,,2023-01-17
3814536,accountability,绩效性；绩效责任,,2023-01-17
3814537,accountability based learning environment,绩效本位学习环境,,2023-01-17
3814538,accreditation,认可；认证,,2023-01-17
3814539,acculturation,涵化；濡化,,2023-01-17
3814540,accuracy,准确度,,2023-01-17
3814541,achievement,成就,,2023-01-17
3814542,achievement age,成就年龄,,2023-01-17
3814543,achievement anxiety test,成就焦虑测验,,2023-01-17
3814544,achievement gap,成就落差,,2023-01-17
3814545,achievement motivation inventory,成就动机量表,,2023-01-17
3814546,achievement need,成就需求,,2023-01-17
3814547,achievement quotient,成就商数,,2023-01-17
3814548,achievement rating,成就评定,,2023-01-17
3814549,achievement rating scale,成就评定量表,,2023-01-17
3814550,achievement test,成就测验,,2023-01-17
3814551,acquisition behavior,习得行为,,2023-01-17
3814552,action programs,行动计划,,2023-01-17
3814553,action research,行动研究,,2023-01-17
3814554,active learning,主动学习,,2023-01-17
3814555,activities oriented curriculum,活动导向课程,,2023-01-17
3814556,activities preference questionnaire,活动偏好问卷,,2023-01-17
3814557,activity learning,活动学习,,2023-01-17
3814558,activity level,活动水准,,2023-01-17
3814559,activity record,活动纪录,,2023-01-17
3814560,activity scale,活动量表,,2023-01-17
3814561,activity units,活动单元,,2023-01-17
3814562,adaptability index,适应指标,,2023-01-17
3814563,adaptability test,适应测验,,2023-01-17
3814564,adaptation,适应,,2023-01-17
3814565,adaptation concept,适应概念,,2023-01-17
3814566,adaptation effect,适应效应,,2023-01-17
3814567,adaptation frame,适应架构,,2023-01-17
3814568,adjustment level,适应水准,,2023-01-17
3814569,adjustment problem,适应问题,,2023-01-17
3814570,advance organizers,前导组体,,2023-01-17
3814571,advanced level examination,进阶考试,,2023-01-17
3814572,advanced placement,跳级安置,,2023-01-17
3814573,advanced placement examination,跳级安置考试,,2023-01-17
3814574,advanced placement program,跳级安置计划,,2023-01-17
3814575,advanced placement test,跳级安置测验,,2023-01-17
3814576,adventure education,冒险教育,,2023-01-17
3814577,advisory committee,咨询委员会,,2023-01-17
3814578,advisory council on college chemistry,大学化学咨询委员会,,2023-01-17
3814579,aesthetics,美学,,2023-01-17
3814580,affect adjective checklist,情意形容词检核表,,2023-01-17
3814581,affect concept,情意概念,,2023-01-17
3814582,affection,情意,,2023-01-17
3814583,affective behavior,情意行为,,2023-01-17
3814584,affective cognitive consistency,情意认知一致性,,2023-01-17
3814585,affective development,情意发展,,2023-01-17
3814586,affective domain,情意领域,,2023-01-17
3814587,affective objectives,情意目标,,2023-01-17
3814588,affective sensitivity scale,情意感受量表,,2023-01-17
3814589,affective test,情意测验,,2023-01-17
3814590,affiliated school,附属学校,,2023-01-17
3814591,after school activity,课后活动,,2023-01-17
3814592,after school education,学校课后教育,,2023-01-17
3814593,after school program,课后方案,,2023-01-17
3814594,after school tutoring,课后指导,,2023-01-17
3814595,age discrimination,年龄歧视,,2023-01-17
3814596,age norm,年龄常模,,2023-01-17
3814597,agricultural education,农业教育,,2023-01-17
3814598,agricultural education research,农业教育研究,,2023-01-17
3814599,air pollution control,空气污染管制,,2023-01-17
3814600,A-level physics,(英制)进阶物理,,2023-12-01
3814601,algebra,代数；代数学,,2023-01-17
3814602,algebraic topology,代数拓朴学,,2023-01-17
3814603,algorithm,算则,,2023-01-17
3814604,Allen attitude scale,艾伦态度量表,,2023-01-17
3814605,Allen picture cards,艾伦图片,,2023-01-17
3814606,Allen scale of beliefs,艾伦信念量表,,2023-01-17
3814607,Allen sentence completion test,艾伦句子完成测验,,2023-01-17
3814608,Allison science attitude scale,阿利森科学态度量表,,2023-01-17
3814609,alternative assessment,另类评量,,2023-01-17
3814610,alternative education,另类教育,,2023-01-17
3814611,alternative framework,另有架构,,2023-01-17
3814612,alternative instructional method,另类教学法,,2023-01-17
3814613,alternative learning environment,另类学习环境,,2023-01-17
3814614,ambiguous figure,暧昧图形,,2023-01-17
3814615,ameliorative approach,改善教学法,,2023-01-17
3814616,ameliorative curriculum,改善课程,,2023-01-17
3814617,American Academy of Arts and Sciences,美国文理学院,,2023-01-17
3814618,American Association for the Advancement of Science {=AAAS},美国科学促进会,,2023-01-17
3814619,American Association of Physics Teachers,美国物理教师协会,,2023-01-17
3814620,American Association of Teacher's Organization,美国教师组织协会,,2023-01-17
3814621,American Chemical Society {=ACS},美国化学会,,2023-01-17
3814622,American Council on Education,美国教育委员会,,2023-01-17
3814623,American Council on Educational Psychology,美国教育心理委员会,,2023-01-17
3814624,American Educational Research Association {=AERA},美国教育研究学会,,2023-01-17
3814625,American Federation of Teachers,美国教师联盟,,2023-01-17
3814626,American Institute of physics{=AIP},美国物理联合会,,2023-01-17
3814627,American Mathematical Society,美国数学会,,2023-01-17
3814628,American Physical Society,美国物理学会,,2023-01-17
3814629,American Psychological Association {=APA},美国心理学会,,2023-01-17
3814630,American Psychological Association Publication Manual,美国心理学会论文格式,,2023-01-17
3814631,American school intelligence test,美国学校智力测验,,2023-01-17
3814632,American Society for Testing and Measurements,美国测验与评量学会,,2023-01-17
