ID,英文詞彙,中文詞彙,審定日期,更新日期
21396851,3D foundation model,三维基础模型,2026.03.12,
21396852,3D Gaussian,三维高斯椭球,2026.02.05,
21396853,3D Gaussian primitive,三维高斯基元,2026.02.05,
21396854,3D Gaussian splatting (3DGS),三维高斯泼溅,2026.02.05,
21396855,3D reconstruction,三维重建,2022.11.03,
21396856,ablation study,剥离研究 {人工智慧} ； 摘除研究 {人工智慧},2022.03.14,
21396857,absorption band,吸收波段；吸收带,2022.07.21,
21396858,accessibility level (AL),自动驾驶等级,2023.04.12,
21396859,acoustic Doppler current profiler (ADCP),声波都卜勒流速剖面仪,2023.05.09,
21396860,acoustic Doppler velocimeter (ADV),声波都卜勒流速计,2023.05.09,
21396861,acoustic impedance,声学阻抗；声阻抗,2025.10.08,
21396862,acoustic tidal gauge,音波式潮位计,2025.09.24,
21396863,across track resolution,横向解析度,2026.01.15,
21396864,activation function,激励函数；活化函数；激活函数,2023.07.05,
21396865,adaptive cruise control (ACC),主动式定速巡航控制；自适应巡航控制,2022.07.21,
21396866,adaptive density control,适应性密度控制,2026.02.05,
21396867,additive color,加色法；加色,2024.08.16,
21396868,advanced driver assistance system (ADAS),先进驾驶辅助系统,2022.03.14,
21396869,adversarial example,对抗样本,2024.08.16,
21396870,A-frame,A型构架；A型吊架,2026.01.15,
21396871,agentic workflow,代理工作流程,2025.04.29,
21396872,AI agent,人工智慧代理；人工智慧代理人,2025.04.29,
21396873,AI-assisted 3D modeling,AI 辅助三维建模,2026.02.05,
21396874,AI-assisted 3D reconstruction,AI 辅助三维重建,2026.02.05,
21396875,AI-driven scene generation,AI 驱动场景生成,2026.02.05,
21396876,airborne laser bathymetry (ALB),空载测深光达,2023.03.29,
21396877,along shore current,沿岸流,2025.03.06,
21396878,along track resolution,沿轨解析度,2026.01.15,
21396879,alpha blending,alpha 混合,2026.02.05,
21396880,amplitude modulation (AM),调幅；振幅调制,2025.03.06,
21396881,anchor-based detection,基于锚框物件侦测法,2023.07.05,
21396882,anchor-free detection,无锚框物件侦测法,2023.07.05,
21396883,angular resolution,角解析度；角分辨,2026.01.15,
21396884,annotated image,已标注影像,2023.08.30,
21396885,anomalisic month,近点月,2026.04.16,
21396886,anomaly detection,异常侦测,2024.08.16,
21396887,anti-lock braking system (ABS),防锁死煞车系统,2022.07.21,
21396888,apogean current,远地潮流,2026.04.16,
21396889,appearance model,外观模型,2024.08.16,
21396890,approximate lowest low water (ALLW),约最低低潮,2023.03.29,
