ID,英文名稱,中文名稱,圖片,更新日期
3140436,A/D and D/A converter,类比数位及数位类比转换器,,2017-07-20
3140437,abnormal hearing,听力异常,,2017-07-20
3140438,absolute amplitude perterturbation,绝对振幅扰动,,2017-07-20
3140439,absolute difference limen,绝对辨别极限,,2017-07-20
3140440,absolute hearing,绝对音感,,2017-07-20
3140441,absolute judgment,心理绝对判断,,2017-07-20
3140442,absolute response,绝对响应,,2017-07-20
3140443,absolute-value circuit,绝对值电路,,2017-07-20
3140444,absorber,吸收器；吸收体,,2017-07-20
3140445,absorption coefficient,吸音系数,,2017-07-20
3140446,absorptive material,吸音材料,,2017-07-20
3140447,abutting critical band,临界接带,,2017-07-20
3140448,AC analysis,交流分析,,2017-07-20
3140449,AC coupling,交流耦合,,2017-07-20
3140450,AC current,交流电流,,2017-07-20
3140451,AC measurement,交流量测,,2017-07-20
3140452,AC model,交流模型,,2017-07-20
3140453,AC motor drive,交流马达驱动器,,2017-07-20
3140454,AC voltage,交流电压,,2017-07-20
3140455,acceleration,加速度,,2017-07-20
3140456,acceleration spectrum,加速度频谱,,2017-07-20
3140457,acceleration transmissibility,加速度传输比,,2017-07-20
3140458,acceleration vector,加速度向量,,2017-07-20
3140459,accelerometer,加速规；加速度计,,2017-07-20
3140460,accent,腔调,,2017-07-20
3140461,acceptable limits of annoyance,可接受吵闹限值,,2017-07-20
3140462,access control,存取控制,,2017-07-20
3140463,access network,存取网路,,2017-07-20
3140464,accompanied modulation,伴随调变；伴随调制,,2017-07-20
3140465,accumulative power spectrum,累积声量频谱,,2017-07-20
3140466,accuracy,准确度,,2017-07-20
3140467,accuracy of the mean,平均准确度,,2017-07-20
3140468,AC-DC power conversion,交流直流功率转换,,2017-07-20
3140469,AC-DC power converter,交流直流功率转换器,,2017-07-20
3140470,acoustic apparatus,听觉器官,,2017-07-20
3140471,acoustic application,声波应用,,2017-07-20
3140472,acoustic array,声波阵列,,2017-07-20
3140473,acoustic beam,声束,,2017-07-20
3140474,acoustic break,声阻断,,2017-07-20
3140475,acoustic calibrator,声音校正器,,2017-07-20
3140476,acoustic damping parameter,声波阻尼参数,,2017-07-20
3140477,acoustic detector,声波侦测器,,2017-07-20
3140478,acoustic device,声波元件,,2017-07-20
3140479,acoustic dispersion,声频散,,2017-07-20
3140480,acoustic effect,声波效应,,2017-07-20
3140481,acoustic emission,声发射,,2017-07-20
3140482,acoustic energy density,声音能量密度,,2017-07-20
3140483,acoustic environment,声学环境,,2017-07-20
3140484,acoustic equalizer,音响等化器,,2017-07-20
3140485,acoustic feature,声学特征,,2017-07-20
3140486,acoustic filter,声波滤波器,,2017-07-20
3140487,acoustic frequency conversion,声波频率转换,,2017-07-20
3140488,acoustic imaging,声波成像,,2017-07-20
