ID,英文名稱,中文名稱,圖片,備註,更新日期
2711171,Abbey School,大修道院学校,,nan,2016-10-04
2711172,ability,能力,,nan,2016-10-04
2711173,ability grouping,能力分班；能力分组,,nan,2016-10-04
2711174,ability test,能力测验,,nan,2016-10-04
2711175,abnormal psychology,变态心理学,,nan,2016-10-04
2711176,aboriginal education,原住民民族教育,,nan,2016-10-04
2711177,aboriginal education class,原住民教育班,,nan,2016-10-04
2711178,Aboriginal Education Law,原住民教育法,,nan,2016-10-04
2711179,aboriginal inhabited area,原住民聚居地区,,nan,2016-10-04
2711180,abstract intelligence,抽象智力,,nan,2016-10-04
2711181,academic attainment indicators,学力指标,,nan,2016-10-04
2711182,academic attainment testing,学力测验,,nan,2016-10-04
2711183,academic award,学术奖,,nan,2016-10-04
2711184,Academic Award of Ministry of Education,教育部学术奖,,nan,2016-10-04
2711185,Academic Competence Contest,学业能力竞赛,,nan,2016-10-04
2711186,academic costume,学位服,,nan,2016-10-04
2711187,Academic Council,学术委员会,,nan,2016-10-04
2711188,academic degree,学位,,nan,2016-10-04
2711189,academic dissertation,学位论文,,nan,2016-10-04
2711190,academic education,学术教育,,nan,2016-10-04
2711191,academic examination,学业考试,,nan,2016-10-04
2711192,academic freedom,学术自由,,nan,2016-10-04
2711193,academic gown,学位袍,,nan,2016-10-04
2711194,academic hood,学位巾,,nan,2016-10-04
2711195,academic work,专门著作,,nan,2016-10-04
2711196,academic year,学年,,nan,2016-10-04
2711197,academy,学府 {古希腊}；大学区 {法}；中学{英、美旧制}；学术性质之会社；军事院校,,nan,2016-10-04
2711198,academy inspector,大学区视导员 {法}；大学区督学,,nan,2016-10-04
2711199,accelerated child,加速学习的儿童,,nan,2016-10-04
2711200,acceleration-student,加速学习的学生,,nan,2016-10-04
2711201,accident injury prevention system,事故伤害防制,,nan,2016-10-04
2711202,accidental teaching method,随机教学法,,nan,2016-10-04
2711203,accomplishment quotient {= A.Q.},学业成绩商数,,nan,2016-10-04
2711204,accomplishment ratio,学业成绩比率,,nan,2016-10-04
2711205,accomplishment test,学业成绩测验,,nan,2016-10-04
2711206,accreditation,审定；认可,,nan,2016-10-04
2711207,accredited college,经认可之学院,,nan,2016-10-04
2711208,accredited school,经认可之学校,,nan,2016-10-04
2711209,accredited teacher,经认可之教师,,nan,2016-10-04
2711210,accredited university,经认可之大学,,nan,2016-10-04
2711211,accretion learning,附学习,,nan,2016-10-04
2711212,achievement quotient,成就商数,,nan,2016-10-04
2711213,acquired character,习得的特性,,nan,2016-10-04
2711214,acquired characteristic,习得的特性,,nan,2016-10-04
2711215,acquired tendency,习得的倾向,,nan,2016-10-04
2711216,acquisition instinct,习得本能,,nan,2016-10-04
2711217,act,动作；法案,,nan,2016-10-04
2711218,action,动作,,nan,2016-10-04
2711219,action forum,执行委员会 {英},,英国教育学,2016-10-04
2711220,action research,行动研究,,nan,2016-10-04
2711221,action system,动作系统,,nan,2016-10-04
2711222,active attention,主动注意,,nan,2016-10-04
2711223,active experience,活动经验,,nan,2016-10-04
2711224,active forgetting,自动遗忘,,nan,2016-10-04
2711225,active principle,主动原则,,nan,2016-10-04
2711226,active recall,主动回忆,,nan,2016-10-04
2711227,active recollection,主动回忆,,nan,2016-10-04
2711228,activity,活动；作业,,nan,2016-10-04
2711229,activity analysis,活动分析,,nan,2016-10-04
2711230,activity curriculum,活动课程,,nan,2016-10-04
2711231,activity school,活动学校,,nan,2016-10-04
2711232,adaptation,适应,,nan,2016-10-04
2711233,adjustable desk,可调式课桌,,nan,2016-10-04
2711234,adjustable seat,可调式座椅,,nan,2016-10-04
2711235,adjustment,顺应；调整,,nan,2016-10-04
2711236,administration of students' enrollment status,学籍管理,,nan,2016-10-04
2711237,admission age,入学年龄,,nan,2016-10-04
2711238,admission by application,申请入学,,nan,2016-10-04
2711239,admission by placement,分发入学,,nan,2016-10-04
2711240,admission by recommendation and screening,甄选入学,,nan,2016-10-04
2711241,admission by registration and placement,登记分发入学,,nan,2016-10-04
2711242,admission qualification,入学资格,,nan,2016-10-04
2711243,admission requirement,入学资格；入学条件,,nan,2016-10-04
2711244,admission via examination and placement,考试分发入学,,nan,2016-10-04
2711245,adoption-guidance program,认辅制度,,nan,2016-10-04
2711246,adult education,成人教育,,nan,2016-10-04
2711247,adult school,成人学校,,nan,2016-10-04
2711248,advanced skills teacher {=AST},优异级教师 {英},,英国教育学,2016-10-04
2711249,advancement,升级,,nan,2016-10-04
2711250,adviser,顾问；指导教授；指导人员,,nan,2016-10-04
2711251,advisory committee,指导委员会；咨询委员会；审议委员会,,nan,2016-10-04
2711252,Advisory Committee of Teacher Education,师资培育审议委员会,,nan,2016-10-04
2711253,advisory teacher,咨询老师 {英},,英国教育学,2016-10-04
2711254,aerial navigation school,航空学校,,nan,2016-10-04
2711255,aesthetic appreciation,审美,,nan,2016-10-04
2711256,aesthetic education,美育,,nan,2016-10-04
2711257,aesthetic feeling,美感,,nan,2016-10-04
2711258,aesthetics,美学,,nan,2016-10-04
2711259,affection,情感 [作用]；感情,,nan,2016-10-04
2711260,affirmative action of entrance examination,升学考试优待,,nan,2016-10-04
2711261,after image,后象,,nan,2016-10-04
2711262,after-school club,安亲班,,nan,2016-10-04
2711263,age distribution,年龄分配,,nan,2016-10-04
2711264,age norm,年龄常模,,nan,2016-10-04
2711265,age scale,年龄量表,,nan,2016-10-04
2711266,age-grade table,年龄学级表,,nan,2016-10-04
2711267,age-grade-progress,年龄-年级-进度,,nan,2016-10-04
2711268,agricultural education,农业教育,,nan,2016-10-04
2711269,aided school,受政府补助之学校 {英},,英国教育学,2016-10-04
2711270,allowance,教师职务加给,,nan,2016-10-04
2711271,alma mater,母校,,nan,2016-10-04
2711272,almonry school,施济学校 {英},,英国教育学,2016-10-04
2711273,alternating plan,建教计划；建教方案,,nan,2016-10-04
2711274,alternating system,建教制度,,nan,2016-10-04
2711275,alternation of studies,学科轮替制,,nan,2016-10-04
2711276,alternative learning sections,弹性学习节数,,nan,2016-10-04
2711277,altruistic instinct,利他本能,,nan,2016-10-04
2711278,alumna,女校友,,nan,2016-10-04
2711279,alumni {pl.},校友,,nan,2016-10-04
2711280,alumni association,校友会,,nan,2016-10-04
2711281,alumnus,校友,,nan,2016-10-04
2711282,amnesia,健忘；遗忘,,nan,2016-10-04
2711283,analytic instruction,分析教学,,nan,2016-10-04
2711284,analytic method,分析法,,nan,2016-10-04
2711285,analytic psychology,分析心理学,,nan,2016-10-04
2711286,ancillary staff,佐理职员 {英},,英国教育学,2016-10-04
2711287,animal psychology,动物心理学,,nan,2016-10-04
2711288,antenatal training,胎教,,nan,2016-10-04
2711289,anthropometric test,人体测验,,nan,2016-10-04
2711290,anti-education,反教育,,nan,2016-10-04
2711291,apperception,统觉,,nan,2016-10-04
2711292,applied psychology,应用心理学,,nan,2016-10-04
2711293,applied science,应用科学,,nan,2016-10-04
2711294,appointment by selection,遴聘,,nan,2016-10-04
2711295,appraisal of academic achievement,学力鉴定,,nan,2016-10-04
2711296,apprentice,学徒；艺徒,,nan,2016-10-04
2711297,apprentice school,学徒学校,,nan,2016-10-04
2711298,apprentice ship education,学徒教育,,nan,2016-10-04
2711299,apprentice ship system,学徒制,,nan,2016-10-04
2711300,apprentice system,学徒制,,nan,2016-10-04
2711301,approval list,认可名册,,nan,2016-10-04
2711302,aptitude,性向,,nan,2016-10-04
2711303,Arbitration and Conciliation Service {=ACAS},仲裁暨调解委员会{英},,英国教育学,2016-10-04
2711304,arithmetic mean,算术平均数,,nan,2016-10-04
2711305,army school,陆军学校,,nan,2016-10-04
2711306,art education,艺术教育,,nan,2016-10-04
2711307,art education for general public,社会艺术教育,,nan,2016-10-04
2711308,artificial environment,人为环境,,nan,2016-10-04
2711309,artistic ability,艺术能力,,nan,2016-10-04
2711310,artistic education,艺术教育,,nan,2016-10-04
2711311,artistic talent,艺术才能,,nan,2016-10-04
2711312,arts and crafts education,工艺教育,,nan,2016-10-04
2711313,arts and crafts school,工艺学校,,nan,2016-10-04
2711314,arts and humanities,艺术与人文,,nan,2016-10-04
2711315,asceticism,禁欲主义,,nan,2016-10-04
2711316,assigned-subject test,指定科目考试,,nan,2016-10-04
2711317,assignment,作业指定,,nan,2016-10-04
2711318,assignment sheet,作业单,,nan,2016-10-04
2711319,assimilation,同化,,nan,2016-10-04
2711320,assimilative learning,同化学习,,nan,2016-10-04
2711321,assistances in transitions,转衔服务,,nan,2016-10-04
2711322,assistant education officer,中级教育官员 {英},,英国教育学,2016-10-04
2711323,assistant principal,副校长,,nan,2016-10-04
2711324,assistant professor,助理教授,,nan,2016-10-04
2711325,assistant researcher,助理研究员,,nan,2016-10-04
2711326,assistant teacher,助理教师,,nan,2016-10-04
2711327,associate bachelor,副学士,,nan,2016-10-04
2711328,associate learning,副学习,,nan,2016-10-04
2711329,associate professor,副教授,,nan,2016-10-04
2711330,associate researcher,副研究员,,nan,2016-10-04
2711331,Association for Science Education,科学教育协会 {英},,英国教育学,2016-10-04
2711332,association law,联结律,,nan,2016-10-04
2711333,Association of Colleges {=AOC},学院联合协会 {英},,英国教育学,2016-10-04
2711334,association of ideas,观念联合；联想,,nan,2016-10-04
2711335,Association of Teachers & Lecturers,教师暨讲师协会 {英},,英国教育学,2016-10-04
2711336,Association of University Teachers,大学教师协会 {英},,英国教育学,2016-10-04
2711337,association psychology,联结心理学,,nan,2016-10-04
2711338,association word,联想字,,nan,2016-10-04
2711339,associative learning,联想学习,,nan,2016-10-04
