ID,英文詞彙,中文詞彙,審譯日期,更新日期
21403052,abaculus,马赛克瓷砖,114.08.30,2026-06-29
21403053,abamurus,扶壁,114.08.30,2026-06-29
21403054,abandonment,废除,114.08.30,2026-06-29
21403055,abatement,减量,114.08.30,2026-06-29
21403056,abatson,反音板,114.08.30,2026-06-29
21403057,abatvent,破风板；挡风板,114.08.30,2026-06-29
21403058,abatvoix,吸音板,114.08.30,2026-06-29
21403059,ability-to-repay rule,偿还能力规则,113.10.01,2026-06-29
21403060,above finished floor (AFF),楼板完成面以上；楼板装修面以上,115.05.05,2026-06-29
21403061,above ground level (AGL),地面以上,115.05.05,2026-06-29
21403062,absentee owner,非自住所有权人,114.08.30,2026-06-29
21403063,absolute auction,无保留价拍卖；绝对拍卖,115.05.05,2026-06-29
21403064,absolute coordinate,绝对坐标,115.05.05,2026-06-29
21403065,absolute filtration rating,绝对过滤等级,114.08.30,2026-06-29
21403066,absolute obligation,绝对责任；无过失责任,114.08.30,2026-06-29
21403067,absolute manometer,绝对压力计,115.05.05,2026-06-29
21403068,absorbency,吸收性;吸收能力,115.05.05,2026-06-29
21403069,absorbent separator,吸收式隔离层；吸收式分离器,115.05.05,2026-06-29
21403070,absorbing drain,吸附式排水,115.05.05,2026-06-29
21403071,abstract of bids,投标摘要表;开标纪录表,115.05.05,2026-06-29
21403072,abuttal,邻接;地界,115.05.05,2026-06-29
21403073,Abyssinian well,管井；阿比西尼亚井,115.05.05,2026-06-29
21403074,accelerated curing,加速养护,115.05.05,2026-06-29
21403075,accelerated delivery,快速交付,115.05.05,2026-06-29
21403076,accelerated depreciation,加速折旧,115.05.05,2026-06-29
21403077,accelerated life test (ALT),加速寿命试验,115.05.05,2026-06-29
21403078,accelerated service test (AST),加速服役试验；加速寿命试验,115.05.05,2026-06-29
21403079,accelerated weathering test,加速耐候试验；加速风化试验,115.05.05,2026-06-29
21403080,acceleration clause,加速还款条款,115.05.05,2026-06-29
21403081,acceleration stress,加速应力,115.05.05,2026-06-29
